Frequency[Hz];Magnitude[dB];Phase[deg]
0,038311868495573;-0,01446117178916;-6,1252427719514
0,03981071705535;-0,015618863589962;-6,3649964871285
0,041368204023885;-0,016869579250101;-6,6141442210743
0,042986623470823;-0,018220849936539;-6,8730551597508
0,044668359215096;-0,019680825690923;-7,1421131206016
0,046415888336128;-0,021258327746268;-7,4217171446106
0,048231784822393;-0,022962905492332;-7,7122821132268
0,050118723362727;-0,024804898535721;-8,0142393911923
0,052079483285954;-0,026795504348098;-8,3280374963255
0,054116952654646;-0,028946852048375;-8,6541427973266
0,056234132519035;-0,031272082923524;-8,9930402406671
0,058434141337351;-0,0337854383582;-9,3452341076137
0,060720219569098;-0,036502355916553;-9,7112488024019
0,063095734448019;-0,039439574401269;-10,09162967252
0,065564184941797;-0,042615248806176;-10,48694386198
0,068129206905796;-0,046049076180419;-10,897781198326
0,070794578438413;-0,049762433535819;-11,324755113971
0,073564225445964;-0,053778529055302;-11,768503602223
0,07644222742526;-0,058122568001213;-12,229690208063
0,079432823472428;-0,062821934878446;-12,709005053387
0,082540418526801;-0,067906393580875;-13,20716589588
0,085769589859089;-0,073408307441234;-13,724919220155
0,089125093813374;-0,07936288131627;-14,263041358949
0,092611872812879;-0,085808428071436;-14,822339641258
0,096235062639808;-0,092786662083836;-15,403653563081
0,099999999999999;-0,10034302265913;-16,007855974999
0,10391223038352;-0,10852703055739;-16,635854279004
0,10797751623277;-0,11739268114421;-17,288591624832
0,1122018454302;-0,12699887802416;-17,967048093396
0,11659144011798;-0,13740991137118;-18,67224185169
0,12115276586286;-0,1486959855388;-19,405230259716
0,12589254117942;-0,16093380090453;-20,167110905331
0,13081774742602;-0,17420719526577;-20,959022537408
0,13593563908785;-0,18860785044311;-21,782145861177
0,14125375446227;-0,20423607004061;-22,637704151846
0,14677992676221;-0,22120163453214;-23,52696363356
0,1525222956539;-0,23962473995253;-24,451233560144
0,15848931924611;-0,25963702642511;-25,411865921801
0,16468978654829;-0,28138270249323;-26,410254687819
0,17113283041618;-0,30501977066939;-27,44783447928
0,17782794100389;-0,33072135868086;-28,526078547611
0,18478497974223;-0,35867715946374;-29,646495914709
0,19201419386388;-0,38909498090979;-30,810627508295
0,19952623149689;-0,4222024035463;-32,020041102488
0,20733215734859;-0,4582485405573;-33,276324848882
0,21544346900319;-0,49750588963911;-34,581079158426
0,22387211385683;-0,54027225992071;-35,93590667053
0,23263050671536;-0,58687274936159;-37,342400024708
